query,ProductId,text_similarity,query_length,query_word_count,exact_match,partial_match_ratio,avg_rating,rating_std,review_count,median_rating,total_helpful_votes,total_votes,avg_helpfulness_ratio,avg_review_length,review_length_std,avg_summary_length,first_review_time,last_review_time,unique_reviewers,review_span_days,review_velocity,helpfulness_rate,reviewer_diversity,is_controversial,is_high_quality,popularity_score,relevance_label
marinade,B0002IF5C8,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,141.0,,28.0,1261958400,1261958400,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B000KKHRB0,0.0,1,1,0,0.0,1.5,0.707,2,1.5,0,3,0.0,889.0,1076.217,22.0,1332720000,1338076800,2,62.0,0.03225806451612903,0.0,1.0,0,0,0.8894449154672439,0
marinade,B0018SVRAU,0.0,1,1,0,0.0,1.0,,1,1.0,1,1,1.0,424.0,,18.0,1269302400,1269302400,1,0.0,1.0,1.0,1.0,0,0,0.877258872223978,0
marinade,B003Z6SRYC,0.0,1,1,0,0.0,5.0,0.0,2,5.0,0,0,,133.5,3.536,18.0,1342224000,1349913600,2,89.0,0.02247191011235955,0.0,1.0,0,0,1.939444915467244,1
marinade,B0028P8IZE,0.0,1,1,0,0.0,5.0,0.0,4,5.0,0,0,,181.5,24.664,12.0,1264982400,1345939200,4,937.0,0.004268943436499467,0.0,1.0,0,0,2.1437751649736403,1
marinade,B004KAT9HQ,0.0,1,1,0,0.0,5.0,0.0,7,5.0,2,11,0.167,180.857,59.72,19.714,1306800000,1345507200,7,448.0,0.015625,0.18181818181818182,1.0,0,0,2.386322071217389,1
marinade,B0009YWMYE,0.0,1,1,0,0.0,4.889,0.333,9,5.0,20,21,0.975,715.556,514.173,25.0,1228089600,1335398400,9,1242.0,0.007246376811594203,0.9523809523809523,1.0,0,0,2.673448322911904,2
marinade,B0001N485Y,0.0,1,1,0,0.0,5.0,,1,5.0,8,8,1.0,1748.0,,22.0,1158710400,1158710400,1,0.0,1.0,1.0,1.0,0,0,2.077258872223978,2
marinade,B001X0H6GM,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,445.0,,9.0,1343347200,1343347200,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B003NR4SPU,0.0,1,1,0,0.0,3.0,,1,3.0,0,0,,238.0,,22.0,1325116800,1325116800,1,0.0,1.0,0.0,1.0,0,0,1.177258872223978,0
marinade,B003EAEBK8,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,231.0,,7.0,1315353600,1315353600,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B002KV5BLA,0.0,1,1,0,0.0,3.0,,1,3.0,0,0,,572.0,,33.0,1287360000,1287360000,1,0.0,1.0,0.0,1.0,0,0,1.177258872223978,0
marinade,B002ALRK0U,0.0,1,1,0,0.0,3.0,,1,3.0,0,0,,187.0,,26.0,1312502400,1312502400,1,0.0,1.0,0.0,1.0,0,0,1.177258872223978,0
marinade,B007FJDZ4C,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,108.0,,17.0,1344470400,1344470400,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B004885T38,0.0,1,1,0,0.0,4.429,1.512,7,5.0,6,9,0.875,373.429,260.138,20.286,1296000000,1347753600,7,599.0,0.011686143572621035,0.6666666666666666,1.0,1,0,2.3604766166719346,1
marinade,B002GWH4HM,0.0,1,1,0,0.0,3.5,0.707,2,3.5,0,0,,479.0,197.99,35.5,1292803200,1321574400,2,333.0,0.006006006006006006,0.0,1.0,0,0,1.489444915467244,0
marinade,B000MXHR24,0.0,1,1,0,0.0,4.667,0.778,12,5.0,8,10,0.778,209.917,118.423,24.75,1293926400,1327795200,10,392.0,0.030612244897959183,0.8,0.8333333333333334,0,0,2.666079742984615,2
marinade,B003LJB8RQ,0.0,1,1,0,0.0,4.625,1.061,8,5.0,2,2,1.0,222.625,129.086,14.75,1305072000,1350345600,8,524.0,0.015267175572519083,1.0,1.0,0,0,2.5663898309344875,2
marinade,B007RC2ZYS,0.0,1,1,0,0.0,1.0,,1,1.0,0,1,0.0,363.0,,14.0,1339200000,1339200000,1,0.0,1.0,0.0,1.0,0,0,0.5772588722239781,0
marinade,B005CV3SWE,0.0,1,1,0,0.0,5.0,0.0,2,5.0,0,0,,289.5,105.359,27.5,1349481600,1349654400,2,2.0,1.0,0.0,1.0,0,0,1.939444915467244,1
marinade,B0038K439I,0.0,1,1,0,0.0,4.0,,1,4.0,0,0,,208.0,,12.0,1323561600,1323561600,1,0.0,1.0,0.0,1.0,0,0,1.4772588722239781,1
marinade,B002DHSLS6,0.0,1,1,0,0.0,1.5,0.707,2,1.5,1,1,1.0,303.5,180.312,24.5,1251331200,1350777600,2,1151.0,0.0017376194613379669,1.0,1.0,0,0,1.189444915467244,0
marinade,B000ICPV4K,0.0,1,1,0,0.0,3.81,1.401,21,4.0,52,65,0.739,403.81,265.048,22.381,1161561600,1313452800,21,1758.0,0.011945392491467578,0.8,1.0,0,0,2.619416981343327,1
marinade,B0000CDBRU,0.0,1,1,0,0.0,4.571,1.134,7,5.0,5,6,0.889,363.571,226.295,24.286,1182470400,1326672000,7,1669.0,0.004194128220491312,0.8333333333333334,1.0,0,0,2.453076616671934,2
marinade,B000NY6QKG,0.0,1,1,0,0.0,5.0,,1,5.0,5,5,1.0,388.0,,36.0,1254614400,1254614400,1,0.0,1.0,1.0,1.0,0,0,2.077258872223978,2
marinade,B000KOQG4A,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,401.0,,43.0,1282089600,1282089600,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B0017I6U9E,0.0,1,1,0,0.0,3.0,1.414,2,3.0,1,1,1.0,146.5,10.607,13.0,1305331200,1313020800,2,89.0,0.02247191011235955,1.0,1.0,0,0,1.639444915467244,1
marinade,B004W1HDMQ,0.0,1,1,0,0.0,3.75,1.5,4,4.0,1,3,0.5,376.0,219.121,18.75,1330041600,1349913600,4,230.0,0.017391304347826087,0.3333333333333333,1.0,0,0,1.8687751649736404,1
marinade,B002EXLKQE,0.0,1,1,0,0.0,5.0,0.0,3,5.0,1,1,1.0,141.333,36.295,12.333,1254873600,1345248000,3,1046.0,0.0028680688336520078,1.0,1.0,0,0,2.354517744447956,2
marinade,B000NCOLJ6,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,89.0,,11.0,1220832000,1220832000,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B002BL2CCK,0.0,1,1,0,0.0,1.0,,1,1.0,8,9,0.889,317.0,,43.0,1264550400,1264550400,1,0.0,1.0,0.8888888888888888,1.0,0,0,0.8439255388906448,0
marinade,B0047LRBX2,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,483.0,,14.0,1294444800,1294444800,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B004ZKWZQ8,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,403.0,,42.0,1347148800,1347148800,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B0002XIBQU,0.0,1,1,0,0.0,5.0,0.0,10,5.0,13,14,0.969,325.4,152.757,30.2,1237420800,1324857600,10,1012.0,0.009881422924901186,0.9285714285714286,1.0,0,0,2.7377295376907766,2
marinade,B0002EOVQI,0.0,1,1,0,0.0,4.312,1.078,16,5.0,13,20,0.729,646.938,614.553,28.688,1241740800,1347235200,16,1221.0,0.013104013104013105,0.65,1.0,0,0,2.6218853376224867,1
marinade,B000VJMSGE,0.0,1,1,0,0.0,5.0,0.0,2,5.0,2,2,1.0,675.0,799.031,37.0,1225670400,1348617600,2,1423.0,0.0014054813773717498,1.0,1.0,0,0,2.239444915467244,2
marinade,B000NN5GQ2,0.0,1,1,0,0.0,5.0,,1,5.0,1,1,1.0,112.0,,3.0,1306454400,1306454400,1,0.0,1.0,1.0,1.0,0,0,2.077258872223978,2
marinade,B001S3I43I,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,183.0,,15.0,1244073600,1244073600,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B0047J8Z9I,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,116.0,,12.0,1344211200,1344211200,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
marinade,B000QF363W,0.0,1,1,0,0.0,4.091,1.578,11,5.0,13,14,0.929,596.273,384.259,27.182,1206489600,1349654400,11,1657.0,0.006638503319251659,0.9285714285714286,1.0,1,0,2.4998340884866286,2
earl grey,B00444X8LQ,0.0,2,2,0,0.0,5.0,,1,5.0,4,4,1.0,782.0,,18.0,1298332800,1298332800,1,0.0,1.0,1.0,1.0,0,0,2.077258872223978,2
earl grey,B000FAKUP0,0.0,2,2,0,0.5,4.667,0.868,24,5.0,88,94,0.879,536.458,1020.159,23.708,1156636800,1349568000,24,2233.0,0.010747872816838333,0.9361702127659575,1.0,0,1,2.9685013937770677,2
earl grey,B004S921I8,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,460.0,,36.0,1344124800,1344124800,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B000EJUW3W,0.0,2,2,0,0.0,3.667,2.309,3,5.0,3,3,1.0,194.667,110.731,15.667,1221868800,1247356800,3,295.0,0.010169491525423728,1.0,1.0,1,0,1.9546177444479562,1
earl grey,B000N2XM4Q,0.0,2,2,0,0.0,4.535,1.032,43,5.0,123,135,0.869,356.558,309.835,22.767,1193875200,1348099200,43,1785.0,0.024089635854341738,0.9111111111111111,1.0,0,1,3.147509186900638,2
earl grey,B002G98QF4,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,145.0,,24.0,1292198400,1292198400,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B004JNXDNK,0.0,2,2,0,0.0,4.0,1.0,3,4.0,1,1,1.0,213.667,72.858,15.333,1341273600,1350345600,3,105.0,0.02857142857142857,1.0,1.0,0,0,2.054517744447956,1
earl grey,B005GTTKME,0.0,2,2,0,0.0,4.0,,1,4.0,0,0,,167.0,,59.0,1333324800,1333324800,1,0.0,1.0,0.0,1.0,0,0,1.4772588722239781,1
earl grey,B002R8IR12,0.0,2,2,0,0.0,2.333,2.309,3,1.0,4,4,1.0,282.667,149.537,21.0,1267315200,1274486400,3,83.0,0.03614457831325301,1.0,1.0,1,0,1.5544177444479563,1
earl grey,B000R5M2JU,0.0,2,2,0,0.0,4.5,0.707,2,4.5,0,0,,509.5,135.057,29.5,1319673600,1334707200,2,174.0,0.011494252873563218,0.0,1.0,0,0,1.7894449154672438,1
earl grey,B0049UVNYY,0.0,2,2,0,0.0,3.0,,1,3.0,0,0,,1255.0,,27.0,1326240000,1326240000,1,0.0,1.0,0.0,1.0,0,0,1.177258872223978,0
earl grey,B0001AVSRI,0.0,2,2,0,0.0,5.0,,1,5.0,0,2,0.0,164.0,,14.0,1321833600,1321833600,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B007G93BEK,0.0,2,2,0,0.5,3.0,,1,3.0,0,0,,1129.0,,34.0,1307145600,1307145600,1,0.0,1.0,0.0,1.0,0,0,1.177258872223978,1
earl grey,B00478FLVE,0.0,2,2,0,0.0,4.667,0.577,3,5.0,1,1,1.0,249.667,93.607,21.0,1314489600,1350432000,3,416.0,0.007211538461538462,1.0,1.0,0,0,2.254617744447956,2
earl grey,B001G0NKZA,0.0,2,2,0,0.0,4.143,1.574,7,5.0,3,3,1.0,317.286,193.455,16.286,1304467200,1350432000,7,532.0,0.013157894736842105,1.0,1.0,1,0,2.374676616671934,2
earl grey,B000LKX1LY,0.0,2,2,0,0.0,4.5,0.707,2,4.5,5,5,1.0,521.5,122.329,25.5,1231718400,1290988800,2,686.0,0.0029154518950437317,1.0,1.0,0,0,2.0894449154672436,1
earl grey,B001BW3HHO,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,410.0,,16.0,1342569600,1342569600,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B003DW731Q,0.0,2,2,0,0.5,4.2,1.304,5,5.0,7,7,1.0,330.8,354.278,15.8,1279238400,1327276800,5,556.0,0.008992805755395683,1.0,1.0,0,0,2.276703787691222,2
earl grey,B000UWPT2M,0.0,2,2,0,0.0,3.0,,1,3.0,1,2,0.5,140.0,,12.0,1316822400,1316822400,1,0.0,1.0,0.5,1.0,0,0,1.327258872223978,1
earl grey,B008BBI8N6,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,1480.0,,19.0,1348617600,1348617600,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B004NNDDVI,0.0,2,2,0,0.0,4.667,0.577,3,5.0,10,10,1.0,472.0,218.762,20.667,1302652800,1340496000,3,438.0,0.00684931506849315,1.0,1.0,0,0,2.254617744447956,2
earl grey,B000MXEN8K,0.0,2,2,0,0.0,4.4,0.548,5,4.0,1,3,0.333,528.6,694.289,26.8,1288742400,1312934400,5,280.0,0.017857142857142856,0.3333333333333333,1.0,0,0,2.1367037876912223,1
earl grey,B003GADBSE,0.0,2,2,0,0.0,4.714,0.756,7,5.0,5,7,0.6,374.143,218.753,24.286,1294963200,1345334400,7,583.0,0.012006861063464836,0.7142857142857143,1.0,0,0,2.460262330957649,2
earl grey,B003TWBUW8,0.0,2,2,0,0.0,1.0,,1,1.0,0,0,,320.0,,16.0,1330300800,1330300800,1,0.0,1.0,0.0,1.0,0,0,0.5772588722239781,0
earl grey,B001M22M1U,0.0,2,2,0,0.0,4.0,,1,4.0,0,0,,226.0,,22.0,1264464000,1264464000,1,0.0,1.0,0.0,1.0,0,0,1.4772588722239781,1
earl grey,B001ELL9IG,0.0,2,2,0,0.0,5.0,0.0,2,5.0,1,1,1.0,171.0,62.225,18.5,1241049600,1267920000,2,311.0,0.006430868167202572,1.0,1.0,0,0,2.239444915467244,2
earl grey,B008BY7NSE,0.0,2,2,0,0.0,4.643,0.839,238,5.0,316,391,0.797,436.71,387.915,22.744,1308528000,1350950400,238,491.0,0.4847250509164969,0.8081841432225064,1.0,0,1,3.825940663739356,2
earl grey,B00348MFQW,0.0,2,2,0,0.0,2.0,,1,2.0,2,3,0.667,809.0,,28.0,1294185600,1294185600,1,0.0,1.0,0.6666666666666666,1.0,0,0,1.077258872223978,0
earl grey,B002SK5CHQ,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,411.0,,14.0,1327276800,1327276800,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B0030MXL7E,0.0,2,2,0,0.0,2.0,1.732,3,1.0,2,2,1.0,486.333,599.387,28.667,1276732800,1329782400,3,614.0,0.004885993485342019,1.0,1.0,1,0,1.4545177444479562,1
earl grey,B000BWI69E,0.0,2,2,0,0.5,4.2,1.789,5,5.0,2,5,0.625,352.6,226.724,18.8,1229472000,1342224000,5,1305.0,0.0038314176245210726,0.4,1.0,1,0,2.0967037876912222,1
earl grey,B003JJUPLS,0.0,2,2,0,0.0,4.5,0.707,2,4.5,0,0,,138.5,3.536,7.5,1337990400,1345075200,2,82.0,0.024390243902439025,0.0,1.0,0,0,1.7894449154672438,1
earl grey,B0010EI0QG,0.0,2,2,0,0.5,4.692,0.736,26,5.0,338,379,0.825,1164.269,1992.3,22.346,1152403200,1351123200,26,2300.0,0.011304347826086957,0.8918205804749341,1.0,0,1,2.993480920544212,2
earl grey,B004XG2H94,0.0,2,2,0,0.0,4.846,0.376,13,5.0,12,12,1.0,593.154,563.019,24.308,1310428800,1349395200,13,451.0,0.028824833702882482,1.0,1.0,0,0,2.809422931846103,2
earl grey,B0002HAB64,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,317.0,,11.0,1346371200,1346371200,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B003MULV4O,0.0,2,2,0,0.0,4.75,0.5,4,5.0,4,4,1.0,282.5,109.086,25.5,1248048000,1339632000,4,1060.0,0.0037735849056603774,1.0,1.0,0,0,2.36877516497364,2
earl grey,B002KDU5L4,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,167.0,,12.0,1344384000,1344384000,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B000OS8RKS,0.0,2,2,0,0.0,2.0,,1,2.0,2,2,1.0,805.0,,28.0,1340582400,1340582400,1,0.0,1.0,1.0,1.0,0,0,1.177258872223978,1
earl grey,B005JD2YZM,0.0,2,2,0,0.0,1.0,,1,1.0,2,2,1.0,291.0,,23.0,1343347200,1343347200,1,0.0,1.0,1.0,1.0,0,0,0.877258872223978,0
earl grey,B002P5D37K,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,300.0,,19.0,1317600000,1317600000,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
earl grey,B000N8F0VS,0.0,2,2,0,0.0,3.667,1.155,3,3.0,2,10,0.111,318.333,65.041,10.667,1253923200,1338768000,3,982.0,0.003054989816700611,0.2,1.0,0,0,1.7146177444479562,1
earl grey,B001EQ5OKU,0.0,2,2,0,0.0,2.545,1.809,11,1.0,19,21,0.936,397.818,252.165,27.091,1156723200,1302652800,11,1689.0,0.006512729425695678,0.9047619047619048,1.0,1,0,2.0288912313437715,1
earl grey,B005HR2XVK,0.0,2,2,0,0.0,3.0,2.828,2,3.0,1,1,1.0,173.0,42.426,13.5,1340150400,1349913600,2,113.0,0.017699115044247787,1.0,1.0,1,0,1.639444915467244,1
earl grey,B0001NBGHM,0.0,2,2,0,0.0,3.75,1.832,8,5.0,22,29,0.76,317.375,185.696,24.75,1190419200,1327795200,8,1590.0,0.005031446540880503,0.7586206896551724,1.0,1,0,2.2314760378310394,1
earl grey,B000LR7QEK,0.0,2,2,0,0.0,3.5,0.707,2,3.5,3,3,1.0,238.5,58.69,19.0,1291248000,1331510400,2,466.0,0.004291845493562232,1.0,1.0,0,0,1.789444915467244,1
earl grey,B003X0RUN4,0.0,2,2,0,0.0,4.25,1.5,4,5.0,3,3,1.0,457.5,251.259,17.75,1296691200,1346889600,4,581.0,0.0068846815834767644,1.0,1.0,0,0,2.21877516497364,1
earl grey,B00474HFOO,0.0,2,2,0,0.0,4.5,0.707,2,4.5,0,0,,185.5,47.376,19.5,1315180800,1339459200,2,281.0,0.0071174377224199285,0.0,1.0,0,0,1.7894449154672438,1
earl grey,B001EPPE10,0.0,2,2,0,0.0,3.0,2.828,2,3.0,0,0,,122.5,3.536,13.5,1254355200,1335398400,2,938.0,0.0021321961620469083,0.0,1.0,1,0,1.3394449154672439,0
earl grey,B007FRD47C,0.0,2,2,0,0.5,4.667,0.577,3,5.0,10,10,1.0,665.0,491.002,24.333,1260835200,1335139200,3,860.0,0.0034883720930232558,1.0,1.0,0,0,2.254617744447956,2
earl grey,B008DPD16Y,0.0,2,2,0,0.0,5.0,,1,5.0,0,0,,1300.0,,36.0,1340496000,1340496000,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
salt,B001SAYVVA,0.0,1,1,0,0.0,5.0,0.0,3,5.0,2,2,1.0,246.667,144.791,13.0,1262649600,1329523200,3,774.0,0.003875968992248062,1.0,1.0,0,0,2.354517744447956,2
salt,B003WGQ14I,0.0,1,1,0,0.0,5.0,0.0,2,5.0,2,2,1.0,230.5,34.648,16.5,1334620800,1338336000,2,43.0,0.046511627906976744,1.0,1.0,0,0,2.239444915467244,2
salt,B000RI1W4I,0.0,1,1,0,0.0,5.0,0.0,2,5.0,0,1,0.0,121.5,7.778,7.5,1232323200,1235174400,2,33.0,0.06060606060606061,0.0,1.0,0,0,1.939444915467244,1
salt,B004HIPVRI,0.0,1,1,0,0.0,5.0,,1,5.0,1,1,1.0,617.0,,37.0,1313884800,1313884800,1,0.0,1.0,1.0,1.0,0,0,2.077258872223978,2
salt,B003SBRPFQ,0.0,1,1,0,0.0,3.0,2.828,2,3.0,0,0,,174.5,54.447,38.0,1342137600,1342137600,2,0.0,2.0,0.0,1.0,1,0,1.3394449154672439,0
salt,B000V9NF8O,0.0,1,1,0,0.0,3.333,1.528,3,3.0,2,3,0.75,315.667,105.116,30.0,1268438400,1299542400,3,360.0,0.008333333333333333,0.6666666666666666,1.0,1,0,1.754417744447956,1
salt,B001SUKQFA,0.0,1,1,0,0.0,5.0,0.0,2,5.0,0,0,,767.5,27.577,41.5,1316563200,1342224000,2,297.0,0.006734006734006734,0.0,1.0,0,0,1.939444915467244,1
salt,B003CG16WK,0.0,1,1,0,0.0,3.25,1.708,4,3.5,13,15,0.688,855.0,543.945,26.5,1272585600,1314489600,4,485.0,0.008247422680412371,0.8666666666666667,1.0,1,0,1.8787751649736402,1
salt,B000H23YN6,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,329.0,,21.0,1290211200,1290211200,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
salt,B000JFFOCU,0.0,1,1,0,0.0,4.0,1.414,2,4.0,2,8,0.5,278.5,84.146,13.5,1173312000,1270512000,2,1125.0,0.0017777777777777779,0.25,1.0,0,0,1.7144449154672439,1
salt,B000MXENCG,0.0,1,1,0,0.0,4.0,1.732,5,5.0,2,3,0.75,277.6,242.852,20.6,1296432000,1332633600,5,419.0,0.011933174224343675,0.6666666666666666,1.0,1,0,2.1167037876912222,1
salt,B000FFLHU2,0.02045460547755368,1,1,1,1.0,3.941,1.452,118,5.0,1666,1918,0.734,592.263,567.983,25.0,1163030400,1348963200,118,2152.0,0.05483271375464684,0.8686131386861314,1.0,0,0,3.3545333388504512,3
salt,B005ATIAUS,0.0,1,1,0,0.0,1.0,,1,1.0,3,3,1.0,192.0,,34.0,1328659200,1328659200,1,0.0,1.0,1.0,1.0,0,0,0.877258872223978,0
salt,B002DZKALY,0.0,1,1,0,0.0,3.429,1.134,7,3.0,1,1,1.0,317.143,202.883,16.286,1290297600,1348531200,7,674.0,0.010385756676557863,1.0,1.0,0,0,2.160476616671934,1
salt,B002WPX9Q8,0.0,1,1,0,0.0,2.75,1.708,4,2.5,3,8,0.3,301.0,155.323,12.25,1271289600,1314921600,4,505.0,0.007920792079207921,0.375,1.0,1,0,1.58127516497364,1
salt,B003XW3Y7I,0.0,1,1,0,0.0,5.0,0.0,5,5.0,1,1,1.0,194.0,71.053,16.8,1305676800,1347667200,5,486.0,0.0102880658436214,1.0,1.0,0,0,2.5167037876912217,2
salt,B003UOLWHI,0.0,1,1,0,0.0,4.0,,1,4.0,0,0,,114.0,,29.0,1315008000,1315008000,1,0.0,1.0,0.0,1.0,0,0,1.4772588722239781,1
salt,B001WAZE9O,0.0,1,1,0,0.0,5.0,0.0,2,5.0,1,1,1.0,562.5,36.062,27.5,1307836800,1322784000,2,173.0,0.011560693641618497,1.0,1.0,0,0,2.239444915467244,2
salt,B001E5DZJ8,0.24698066180097666,1,1,1,1.0,4.3,1.455,20,5.0,56,80,0.846,321.65,133.708,21.9,1179187200,1350172800,20,1979.0,0.01010611419909045,0.7,1.0,0,1,2.717808975089369,3
salt,B002W9BL6Y,0.0,1,1,0,0.0,4.429,1.512,7,5.0,8,10,0.75,451.143,590.912,23.571,1284249600,1327363200,7,499.0,0.014028056112224449,0.8,1.0,1,0,2.4004766166719342,1
salt,B0015KHL5G,0.0,1,1,0,0.0,5.0,,1,5.0,1,3,0.333,493.0,,20.0,1286668800,1286668800,1,0.0,1.0,0.3333333333333333,1.0,0,0,1.8772588722239782,1
salt,B007OV7VUK,0.0,1,1,0,0.0,3.0,,1,3.0,0,1,0.0,151.0,,34.0,1346716800,1346716800,1,0.0,1.0,0.0,1.0,0,0,1.177258872223978,0
salt,B005QOLSJ2,0.0,1,1,0,0.0,4.5,0.85,10,5.0,1375,1426,0.954,739.3,412.701,30.7,1292284800,1324684800,10,375.0,0.02666666666666667,0.9642356241234221,1.0,0,0,2.598428796356375,2
salt,B004DXZN7A,0.0,1,1,0,0.0,3.0,2.828,2,3.0,3,4,0.75,331.5,253.851,22.5,1316476800,1348185600,2,367.0,0.005449591280653951,0.75,1.0,1,0,1.5644449154672437,1
salt,B0019QT4MO,0.0,1,1,0,0.0,4.667,0.577,3,5.0,2,8,0.267,371.667,190.295,24.667,1270944000,1328832000,3,670.0,0.004477611940298508,0.25,1.0,0,0,2.029617744447956,1
salt,B002N57KEY,0.0,1,1,0,0.0,3.0,0.0,2,3.0,2,2,1.0,413.0,158.392,23.5,1275782400,1325894400,2,580.0,0.0034482758620689655,1.0,1.0,0,0,1.639444915467244,1
salt,B005C3DTHQ,0.0,1,1,0,0.0,3.333,1.528,3,3.0,3,4,0.833,246.0,48.775,20.333,1311465600,1341187200,3,344.0,0.00872093023255814,0.75,1.0,1,0,1.7794177444479562,1
salt,B005W2TXMC,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,244.0,,5.0,1344556800,1344556800,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
salt,B0025UM1EQ,0.0,1,1,0,0.0,5.0,,1,5.0,0,0,,110.0,,13.0,1304121600,1304121600,1,0.0,1.0,0.0,1.0,0,0,1.7772588722239782,1
salt,B008ADQW7O,0.0,1,1,0,0.0,4.714,0.488,7,5.0,0,0,,1004.286,838.65,23.714,1340323200,1349913600,7,111.0,0.06306306306306306,0.0,1.0,0,0,2.2459766166719346,1
